Архара;31594;49.416666666667;130.08333333333
Аркадьевка;31594;49.416666666667;130.08333333333
Касаткино;31594;49.416666666667;130.08333333333
Кундур;31702;49.016666666667;131.05
Отважное;31594;49.416666666667;130.08333333333
Белогорск;31513;50.916666666667;128.46666666667
Низинное;31513;50.916666666667;128.46666666667
Возжаевка;31513;50.916666666667;128.46666666667
Некрасовка;31512;50.266666666667;127.53333333333
Никольское;31513;50.916666666667;128.46666666667
Чернетчено;31513;50.916666666667;128.46666666667
Благовещенск;31512;50.266666666667;127.53333333333
Белогорье;31512;50.266666666667;127.53333333333
Благовещенск / Игнатьево (аэропорт);50468;50.25;127.45
Мухинка;31511;50.75;127.3
Призейская;31512;50.266666666667;127.53333333333
Грибское;31512;50.266666666667;127.53333333333
Игнатьево;50468;50.25;127.45
Сергеевка;31511;50.75;127.3
Усть-Ивановка;31512;50.266666666667;127.53333333333
Бурея;31583;49.783333333333;129.91666666667
Малиновка;31442;52;127.65
Новобурейский;31583;49.783333333333;129.91666666667
Талакан;31534;50.433333333333;131.01666666667
Завитинск;31527;50.116666666667;129.46666666667
Дея;31527;50.116666666667;129.46666666667
Житомировка;31527;50.116666666667;129.46666666667
Камышинка;31527;50.116666666667;129.46666666667
Куприяновка;31527;50.116666666667;129.46666666667
Горный;31253;54.716666666667;128.93333333333
Дугда;31318;53.066666666667;130.01666666667
Зея;31300;53.733333333333;127.26666666667
Овсянка;31300;53.733333333333;127.26666666667
Ивановка;31512;50.266666666667;127.53333333333
Березовка;31512;50.266666666667;127.53333333333
Богородское;31512;50.266666666667;127.53333333333
Дмитриевка;31445;51.383333333333;128.11666666667
Среднебелая;31513;50.916666666667;128.46666666667
Константиновка;31587;49.633333333333;128.65
Ключи;31587;49.633333333333;128.65
Коврижка;50564;49.433333333333;127.35
Крестовоздвиженка;31587;49.633333333333;128.65
Новопетровка;31587;49.633333333333;128.65
Магдагачи;31295;53.466666666667;125.81666666667
Пионер;31295;53.466666666667;125.81666666667
Тыгда;31299;53.1;126.35
Ушумун;31371;52.783333333333;126
Черняево;31371;52.783333333333;126
Белоярово;31443;51.633333333333;128.81666666667
Мазаново;31443;51.633333333333;128.81666666667
Маргаритовка;31443;51.633333333333;128.81666666667
Новокиевский Увал;31443;51.633333333333;128.81666666667
Винниково;31586;49.5;129.46666666667
Дим;31587;49.633333333333;128.65
Нижняя Ильиновка;31587;49.633333333333;128.65
Поярково;31587;49.633333333333;128.65
Борисоглебка;31587;49.633333333333;128.65
Варваровка;31524;50.3719;129.112
Георгиевка;31524;50.3719;129.112
Екатеринославка;31524;50.3719;129.112
Прогресс;31583;49.783333333333;129.91666666667
Новорайчихинск;31583;49.783333333333;129.91666666667
Райчихинск;31527;50.116666666667;129.46666666667
Угольное;31527;50.116666666667;129.46666666667
Широкий;31583;49.783333333333;129.91666666667
Ромны;31521;50.783333333333;129.33333333333
Братолюбовка;31521;50.783333333333;129.33333333333
Верхнебелое;31524;50.3719;129.112
Морозовка;31521;50.783333333333;129.33333333333
Поздеевка;31524;50.3719;129.112
Свободный;31445;51.383333333333;128.11666666667
Буссе;50353;51.7166;126.65
Загорная Селитьба;31511;50.75;127.3
Москвитино;31445;51.383333333333;128.11666666667
Подгорный;31445;51.383333333333;128.11666666667
Златоустовск;31329;53.066666666667;132.93333333333
Иса;31397;52.45;130.866
Февральское;31397;52.45;130.866
Экимчан;31329;53.066666666667;132.93333333333
Серышево;31513;50.916666666667;128.46666666667
Бирма;31443;51.633333333333;128.81666666667
Большая Сазанка;31445;51.383333333333;128.11666666667
Томское;31513;50.916666666667;128.46666666667
Украина;31513;50.916666666667;128.46666666667
Сковородино;30692;53.983333333333;123.93333333333
Джалинда;30695;53.466666666667;123.9
Ерофей Павлович;30683;53.966666666667;121.93333333333
Невер;30692;53.983333333333;123.93333333333
Уруша;30683;53.966666666667;121.93333333333
Тамбовка;31512;50.266666666667;127.53333333333
Айгунь;50468;50.25;127.45
Жариково;31512;50.266666666667;127.53333333333
Лермонтовка;31512;50.266666666667;127.53333333333
Толстовка;31512;50.266666666667;127.53333333333
Тында;30499;55.15;124.71666666667
Олекма;30385;56.5833;121.483
Соловьевск;30692;53.983333333333;123.93333333333
Хани;30372;56.9;118.26666666667
Юктали;30385;56.5833;121.483
Углегорск;31442;52;127.65
Шимановск;31442;52;127.65
Мухино;31442;52;127.65
Саскаль;50353;51.7166;126.65
Свободный Труд;31442;52;127.65
Ушаково;31441;51.88;126.56
Антоновка;31443;51.633333333333;128.81666666667
Богучан;31594;49.416666666667;130.08333333333
Бон;31594;49.416666666667;130.08333333333
Вольное;31594;49.416666666667;130.08333333333
Грибовка;31594;49.416666666667;130.08333333333
Гуликовка;31583;49.783333333333;129.91666666667
Домикан;31583;49.783333333333;129.91666666667
Ерахта;31594;49.416666666667;130.08333333333
Есауловка;31702;49.016666666667;131.05
Журавлевка;31594;49.416666666667;130.08333333333
Журавли;31594;49.416666666667;130.08333333333
Заречное;31513;50.916666666667;128.46666666667
Иннокентьевка;31527;50.116666666667;129.46666666667
Казановка;31586;49.5;129.46666666667
Казачий;31702;49.016666666667;131.05
Каменка;31443;51.633333333333;128.81666666667
Каменный Карьер;31594;49.416666666667;130.08333333333
Красная Горка;31594;49.416666666667;130.08333333333
Красный Исток;31594;49.416666666667;130.08333333333
Красный Луч;31586;49.5;129.46666666667
Кулустай;31583;49.783333333333;129.91666666667
Левый Берег;31583;49.783333333333;129.91666666667
Ленинское;31594;49.416666666667;130.08333333333
Михайловка;31587;49.633333333333;128.65
